Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,PCT_SE_B09001_002,PCT_SE_B09001_003,PCT_SE_B09001_004,PCT_SE_B09001_005,PCT_SE_B09001_006,PCT_SE_B09001_007,PCT_SE_B09001_008
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.10",,,,1937,148,330,539,362,339,167,52,7.64,17.04,27.83,18.69,17.5,8.62,2.68
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.22",,,,1678,75,139,468,351,365,210,70,4.47,8.28,27.89,20.92,21.75,12.51,4.17
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.20",,,,1550,247,195,240,334,408,118,8,15.94,12.58,15.48,21.55,26.32,7.61,0.52
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.21",,,,1739,27,329,415,484,184,232,68,1.55,18.92,23.86,27.83,10.58,13.34,3.91
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.22",,,,1079,343,220,176,140,31,157,12,31.79,20.39,16.31,12.97,2.87,14.55,1.11
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1013",,,,1570,34,497,327,282,301,97,32,2.17,31.66,20.83,17.96,19.17,6.18,2.04
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1014",,,,1393,66,294,208,132,427,209,57,4.74,21.11,14.93,9.48,30.65,15,4.09
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.03",,,,654,124,71,155,153,95,51,5,18.96,10.86,23.7,23.39,14.53,7.8,0.76
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.04",,,,1243,48,390,299,181,129,150,46,3.86,31.38,24.05,14.56,10.38,12.07,3.7
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.05",,,,699,14,173,88,151,160,113,0,2,24.75,12.59,21.6,22.89,16.17,0
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.07",,,,1410,65,222,365,290,235,196,37,4.61,15.74,25.89,20.57,16.67,13.9,2.62
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.01",,,,1304,85,134,258,369,256,141,61,6.52,10.28,19.79,28.3,19.63,10.81,4.68
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.02",,,,1976,121,289,369,234,449,298,216,6.12,14.63,18.67,11.84,22.72,15.08,10.93
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.01",,,,1821,34,504,253,336,243,302,149,1.87,27.68,13.89,18.45,13.34,16.58,8.18
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.02",,,,802,44,122,176,105,150,205,0,5.49,15.21,21.95,13.09,18.7,25.56,0
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1033",,,,1199,3,206,207,337,98,226,122,0.25,17.18,17.26,28.11,8.17,18.85,10.18
"06037103401","Census Tract 1034.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.01",,,,882,115,124,320,188,107,22,6,13.04,14.06,36.28,21.32,12.13,2.49,0.68
"06037103402","Census Tract 1034.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.02",,,,1550,57,192,268,554,255,182,42,3.68,12.39,17.29,35.74,16.45,11.74,2.71
"06037104103","Census Tract 1041.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.03",,,,1620,73,402,343,349,191,238,24,4.51,24.81,21.17,21.54,11.79,14.69,1.48
"06037104105","Census Tract 1041.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.05",,,,2159,118,517,390,467,389,198,80,5.47,23.95,18.06,21.63,18.02,9.17,3.71
"06037104108","Census Tract 1041.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.08",,,,1970,148,370,303,539,283,246,81,7.51,18.78,15.38,27.36,14.37,12.49,4.11
