Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,SE_A09002_001,SE_A09002_002,SE_A09002_003,SE_A09002_004,SE_A09002_005,SE_A09002_006,SE_A09002_007,SE_A09002_008
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.10",,,,2043,1858,1712,146,49,16,0,12,2,106,1937,11,302,704,526,175,167,52
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1011.22",,,,2014,1583,1460,123,17,0,0,0,78,336,1678,0,150,532,467,249,210,70
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.20",,,,1665,1317,1229,88,91,0,0,31,111,115,1550,34,305,343,608,134,118,8
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.21",,,,1762,1561,1344,217,47,0,0,0,131,23,1739,27,51,693,501,167,232,68
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1012.22",,,,1105,972,943,29,36,0,0,59,12,26,1079,68,416,255,140,31,157,12
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1013",,,,1871,1514,1235,279,29,0,0,0,27,301,1570,0,217,641,332,251,97,32
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1014",,,,1615,1345,1211,134,32,5,0,0,11,222,1393,8,233,327,161,398,209,57
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.03",,,,737,618,529,89,10,0,0,26,0,83,654,26,101,223,185,63,51,5
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.04",,,,1715,1150,1069,81,39,0,5,49,0,472,1243,22,150,565,223,87,150,46
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.05",,,,747,656,607,49,34,0,0,9,0,48,699,0,90,185,202,109,113,0
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.07",,,,1546,1410,1251,159,0,0,0,0,0,136,1410,8,85,559,340,185,196,37
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.01",,,,1482,1295,1116,179,0,0,4,0,5,178,1304,28,130,319,442,183,141,61
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.02",,,,2096,1831,1680,151,103,0,0,26,16,120,1976,42,121,616,490,193,298,216
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.01",,,,2004,1768,1509,259,0,42,0,11,0,183,1821,0,280,511,345,234,302,149
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.02",,,,850,767,740,27,16,0,0,19,0,48,802,19,78,245,123,132,205,0
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1033",,,,1595,1190,1091,99,9,0,0,0,0,396,1199,0,90,326,357,78,226,122
"06037103401","Census Tract 1034.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.01",,,,1144,865,865,0,6,0,0,0,11,262,882,46,87,426,238,57,22,6
"06037103402","Census Tract 1034.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.02",,,,1956,1518,1312,206,32,0,0,0,0,406,1550,0,195,322,659,150,182,42
"06037104103","Census Tract 1041.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.03",,,,1853,1584,1429,155,13,0,0,0,23,233,1620,9,258,551,354,186,238,24
"06037104105","Census Tract 1041.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.05",,,,2329,1976,1736,240,109,0,0,33,41,170,2159,0,321,704,524,332,198,80
"06037104108","Census Tract 1041.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.08",,,,2101,1848,1608,240,99,0,0,13,10,131,1970,17,199,605,654,168,246,81
"06037104124","Census Tract 1041.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.24",,,,1696,1443,1366,77,3,0,0,68,0,182,1514,16,162,482,440,191,160,63
"06037104201","Census Tract 1042.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.01",,,,2044,1798,1483,315,68,0,0,63,0,115,1929,0,201,714,587,113,262,52
